At7,At2,At5,At1,At4,At6,At3,hahah
V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS2
V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS3
V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS3
V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS3
V-G1,V-B4,V-E3,V-A5,V-D3,V-F4,V-C3,CLS3
V-G1,V-B4,V-E3,V-A5,V-D3,V-F4,V-C3,CLS3
V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS4
V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS5
V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS5
V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS5
V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS5
V-G4,V-B1,V-E4,V-A3,V-D5,V-F1,V-C3,CLS1
V-G4,V-B1,V-E4,V-A3,V-D5,V-F1,V-C3,CLS4
V-G4,V-B1,V-E4,V-A3,V-D5,V-F1,V-C3,CLS4
V-G4,V-B2,V-E1,V-A1,V-D4,V-F4,V-C2,CLS2
V-G4,V-B2,V-E1,V-A1,V-D4,V-F4,V-C2,CLS4
V-G5,V-B2,V-E1,V-A1,V-D4,V-F3,V-C2,CLS2
V-G5,V-B2,V-E1,V-A1,V-D4,V-F3,V-C2,CLS2
V-G5,V-B2,V-E1,V-A1,V-D4,V-F3,V-C2,CLS2
V-G5,V-B2,V-E1,V-A1,V-D4,V-F3,V-C2,CLS2
V-G5,V-B2,V-E1,V-A1,V-D4,V-F3,V-C2,CLS2
