RID,天氣,氣溫,濕度,風,Class,Deep,Support,Reliability,Class Distribution,Simplicity
,晴朗,適中,正常,有,不好,4.0,1,1.0,"1,0",0.25
,晴朗,適中,正常,有,好,4.0,1,1.0,"0,1",0.25
,陰天,,正常,有,好,3.0,1,1.0,"0,1",0.3333333333333333
,雨天,,正常,有,不好,3.0,1,1.0,"1,0",0.3333333333333333
,,,正常,無,好,2.0,5,1.0,"0,5",2.5
,陰天,炎熱,高,無,不好,4.0,1,1.0,"1,0",0.25
,陰天,炎熱,高,無,好,4.0,1,1.0,"0,1",0.25
,陰天,,高,有,好,3.0,1,1.0,"0,1",0.3333333333333333
,雨天,,高,有,不好,3.0,2,1.0,"2,0",0.6666666666666666
,雨天,,高,無,好,3.0,1,1.0,"0,1",0.3333333333333333
,晴朗,,高,,不好,2.0,3,1.0,"3,0",1.5
,,,,,,,18,,,7.0
