Title==>,"{""濕度"": ""正常""}"
屬性,,Gain(A)
結論,0.7642045065086203,
風,0.4444444444444444,0.31976006206417584
天氣,0.612197222702993,0.15200728380562722
氣溫,0.7211361106303402,0.04306839587828004
Title==>,"{""濕度"": ""高""}"
屬性,,Gain(A)
結論,0.9182958340544896,
天氣,0.612197222702993,0.3060986113514965
風,0.8999850522344305,0.018310781820059074
氣溫,0.8999850522344305,0.018310781820059074
Title==>,{}
屬性,,Gain(A)
結論,0.9910760598382222,
濕度,0.8412501702815549,0.1498258895566673
天氣,0.8561060852342812,0.134969974603941
風,0.913798945317036,0.07727711452118624
氣溫,0.9455305560363263,0.045545503801895926
