RID,天氣,氣溫,濕度,風,Class,Deep,Support,Reliability,Class Distribution,Simplicity
1,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
2,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
3,雨天,,,有,不好,2,2,1.0,"0,2",1.0
4,雨天,,,無,好,2,3,1.0,"3,0",1.5
5,陰天,,,,好,1,4,1.0,"0,4",4.0
['屬性'],[''],['GainA']
['結論'],[0.9709505944546686],['']
['濕度'],[0.0],[0.9709505944546686]
['氣溫'],[0.4],[0.5709505944546686]
['風'],[0.9509775004326937],[0.01997309402197489]
['屬性'],[''],['GainA']
['結論'],[0.9709505944546686],['']
['風'],[0.0],[0.9709505944546686]
['濕度'],[0.9509775004326937],[0.01997309402197489]
['氣溫'],[0.9509775004326937],[0.01997309402197489]
