Title==>,{}
屬性,,Gain(A)
結論,1.4931911067339456,
天氣,0.6935361388961918,0.7996549678377538
濕度,0.7884504573082896,0.7047406494256561
風,0.8380423950607804,0.6551487116731652
氣溫,0.9110633930116763,0.5821277137222693
Title==>,"{""天氣"": ""晴朗""}"
屬性,,Gain(A)
結論,1.4827503231438381,
濕度,0.0,1.4827503231438381
氣溫,0.4,1.0827503231438382
風,0.9509775004326937,0.5317728227111445
Title==>,"{""天氣"": ""雨天""}"
屬性,,Gain(A)
結論,1.4609613439460671,
風,0.0,1.4609613439460671
濕度,0.9509775004326937,0.5099838435133734
氣溫,0.9509775004326937,0.5099838435133734
